,season,player_id,player_name,position,team,conference,overall_incl_gt,pass_incl_gt,rush_incl_gt,firstDown_incl_gt,secondDown_incl_gt,thirdDown_incl_gt,standardDowns_incl_gt,passingDowns_incl_gt,overall_excl_gt,pass_excl_gt,rush_excl_gt,firstDown_excl_gt,secondDown_excl_gt,thirdDown_excl_gt,standardDowns_excl_gt,passingDowns_excl_gt,last_updated
462,2019,4361264,Isaiah Bowser,RB,Northwestern,Big Ten,0.1097,0.0297,0.1824,0.1282,0.108,0.092,0.126,0.083,0.1097,0.0297,0.1824,0.1282,0.108,0.092,0.126,0.083,2019-11-12 22:50:18
463,2019,4360438,Brandon Aiyuk,WR,Arizona State,Pac-12,0.1093,0.213,0.0,0.1078,0.128,0.084,0.09,0.149,0.1093,0.213,0.0,0.1078,0.128,0.084,0.09,0.149,2019-11-12 22:50:18
464,2019,4035221,Quartney Davis,WR,Texas A&M,SEC,0.109,0.1847,0.017,0.1146,0.106,0.106,0.111,0.105,0.109,0.1847,0.017,0.1146,0.106,0.106,0.111,0.105,2019-11-12 22:50:18
465,2019,4036436,Marcus Williams Jr.,RB,Appalachian State,Sun Belt,0.1089,0.0042,0.1869,0.1074,0.119,0.093,0.119,0.087,0.1089,0.0042,0.1869,0.1074,0.119,0.093,0.119,0.087,2019-11-12 22:50:18
466,2019,4361655,Ricky Person Jr.,RB,NC State,ACC,0.1086,0.0264,0.2207,0.1423,0.098,0.046,0.134,0.054,0.1086,0.0264,0.2207,0.1423,0.098,0.046,0.134,0.054,2019-11-12 22:50:18
467,2019,4239821,Lucious Stanley,RB,UAB,Conference USA,0.1085,0.0315,0.1684,0.1179,0.095,0.109,0.126,0.072,0.1085,0.0315,0.1684,0.1179,0.095,0.109,0.126,0.072,2019-11-12 22:50:18
468,2019,4427709,Keshawn King,RB,Virginia Tech,ACC,0.1081,0.0287,0.1638,0.1547,0.087,0.04,0.139,0.042,0.1081,0.0287,0.1638,0.1547,0.087,0.04,0.139,0.042,2019-11-12 22:50:18
469,2019,4037478,Gerrid Doaks,RB,Cincinnati,American Athletic,0.108,0.0136,0.1753,0.1157,0.106,0.092,0.147,0.024,0.108,0.0136,0.1753,0.1157,0.106,0.092,0.147,0.024,2019-11-12 22:50:18
470,2019,4240028,Tamorrion Terry,WR,Florida State,ACC,0.1079,0.1978,0.0032,0.1291,0.089,0.101,0.103,0.118,0.1079,0.1978,0.0032,0.1291,0.089,0.101,0.103,0.118,2019-11-12 22:50:18
471,2019,4244648,Kaylan Wiggins,QB,Florida International,Conference USA,0.1075,0.0996,0.1136,0.0898,0.098,0.151,0.094,0.137,0.1075,0.0996,0.1136,0.0898,0.098,0.151,0.094,0.137,2019-11-12 22:50:18
472,2019,3910083,McLane Carter,QB,Rutgers,Big Ten,0.1073,0.2611,0.0,0.0761,0.113,0.154,0.092,0.139,0.1073,0.2611,0.0,0.0761,0.113,0.154,0.092,0.139,2019-11-12 22:50:18
473,2019,3915145,Kirk Merritt,WR,Arkansas State,Sun Belt,0.107,0.1942,0.0038,0.1051,0.117,0.111,0.102,0.117,0.107,0.1942,0.0038,0.1051,0.117,0.111,0.102,0.117,2019-11-12 22:50:18
474,2019,4360248,Kyle Pitts,TE,Florida,SEC,0.1068,0.1863,0.0,0.1019,0.123,0.09,0.104,0.114,0.1068,0.1863,0.0,0.1019,0.123,0.09,0.104,0.114,2019-11-12 22:50:18
475,2019,4373673,John Hightower,WR,Boise State,Mountain West,0.1068,0.1716,0.0383,0.1176,0.086,0.124,0.11,0.1,0.1068,0.1716,0.0383,0.1176,0.086,0.124,0.11,0.1,2019-11-12 22:50:18
476,2019,4240146,Nate Stewart,WR,Akron,Mid-American,0.1067,0.1677,0.0,0.1127,0.093,0.123,0.091,0.131,0.1067,0.1677,0.0,0.1127,0.093,0.123,0.091,0.131,2019-11-12 22:50:18
477,2019,4568312,Jordan Houston,RB,NC State,ACC,0.1067,0.0264,0.2162,0.1506,0.104,0.028,0.131,0.054,0.1067,0.0264,0.2162,0.1506,0.104,0.028,0.131,0.054,2019-11-12 22:50:18
478,2019,4045705,Aaron McAllister,RB,Charlotte,Conference USA,0.1066,0.0279,0.1682,0.1241,0.087,0.108,0.122,0.067,0.1066,0.0279,0.1682,0.1241,0.087,0.108,0.122,0.067,2019-11-12 22:50:18
479,2019,4240838,Terrell Jana,WR,Virginia,ACC,0.1065,0.1781,0.0039,0.1091,0.089,0.122,0.102,0.116,0.1065,0.1781,0.0039,0.1091,0.089,0.122,0.102,0.116,2019-11-12 22:50:18
480,2019,4245131,Tim Jones,WR,Southern Mississippi,Conference USA,0.1064,0.203,0.004,0.0858,0.123,0.13,0.096,0.126,0.1064,0.203,0.004,0.0858,0.123,0.13,0.096,0.126,2019-11-12 22:50:18
481,2019,4241983,Cody White,WR,Michigan State,Big Ten,0.1062,0.1806,0.0226,0.0898,0.103,0.149,0.087,0.143,0.1062,0.1806,0.0226,0.0898,0.103,0.149,0.087,0.143,2019-11-12 22:50:18
482,2019,4042112,Adrian Killins Jr.,RB,UCF,American Athletic,0.1062,0.0193,0.196,0.1103,0.113,0.092,0.117,0.082,0.1062,0.0193,0.196,0.1103,0.113,0.092,0.117,0.082,2019-11-12 22:50:18
483,2019,4361914,Seth Paige,RB,Georgia State,Sun Belt,0.1059,0.0044,0.1714,0.1456,0.093,0.046,0.127,0.037,0.1059,0.0044,0.1714,0.1456,0.093,0.046,0.127,0.037,2019-11-12 22:50:18
484,2019,4240418,Christian Beal-Smith,RB,Wake Forest,ACC,0.1057,0.0208,0.191,0.1279,0.119,0.043,0.124,0.061,0.1057,0.0208,0.191,0.1279,0.119,0.043,0.124,0.061,2019-11-12 22:50:18
485,2019,4361095,Richard Newton,RB,Washington,Pac-12,0.1057,0.0063,0.2107,0.1168,0.099,0.087,0.127,0.055,0.1057,0.0063,0.2107,0.1168,0.099,0.087,0.127,0.055,2019-11-12 22:50:18
486,2019,4242494,Cyrus Habibi-Likio,RB,Oregon,Pac-12,0.1053,0.0254,0.1914,0.1245,0.115,0.041,0.122,0.064,0.1053,0.0254,0.1914,0.1245,0.115,0.041,0.122,0.064,2019-11-12 22:50:18
